GENE	Glycerol_5.7	Glycerol_7	Pyruvate_5.7	Pyruvate_7	Pfam	GO
MT_RS05255	0.0000	0.0000	0.0000	0.0000		
MT_RS05260	0.0000	0.0000	0.0000	0.0000		
MT_RS05265	247.6525	178.2610	256.3695	210.1750	Methyltransf_11,Methyltransf_25	GO:0008168
MT_RS05270	212.1085	109.9545	113.7670	96.5082	Acetyltransf_3,cNMP_binding	GO:0008080
MT_RS05275	121.6235	214.9520	140.4830	177.6215	DUF5642	
MT_RS05280	174.8875	96.1870	82.3721	70.6083	2OG-FeII_Oxy_2	
MT_RS05285	103.8555	104.1009	95.4393	94.9759	Amidinotransf	
MT_RS05290	103.1805	107.5550	103.8606	98.0531	PMT,PMT_2,PMT_4TMC	GO:0000030,GO:0006493,GO:0016020
MT_RS05295	24.0970	37.4128	31.9678	33.1897	TP_methylase	GO:0008168
MT_RS05300	135.7890	150.2135	122.5695	140.0195		
MT_RS05305	69.4899	42.0292	66.0236	45.0102	Chorismate_bind	
MT_RS05310	243.0505	238.8280	249.7925	200.7095		
MT_RS05315	76.7390	104.0366	83.7730	87.4043	tRNA-synt_1,tRNA-synt_1e,tRNA-synt_1g	GO:0000166,GO:0004812,GO:0005524,GO:0006418
MT_RS05320	24.8059	52.0197	42.0919	52.5496	TatD_DNase	GO:0016788
MT_RS05325	115.2805	473.7620	240.3165	424.3180	DUF348,G5,Transglycosylas	
MT_RS05330	48.3317	193.3135	81.6957	148.9260	RrnaAD	
MT_RS05335	89.8199	145.7215	111.9070	129.7310	GHMP_kinases_C,GHMP_kinases_N	GO:0005524
MT_RS05340	30.0179	37.0598	41.7348	27.6531		
MT_RS05345	320.4045	232.7855	357.8310	200.0225	AMP-binding,AMP-binding_C_2	GO:0003824
MT_RS05350	43.2141	50.7094	67.3341	51.8336	Pept_tRNA_hydro	GO:0004045
MT_RS05355	162.2765	208.4975	248.2585	193.5635	Ribosomal_L25p,Ribosomal_TL5_C	GO:0003735,GO:0005840,GO:0006412,GO:0008097
MT_RS05360	60.5262	117.6890	95.2836	97.8464	Lpp-LpqN	
MT_RS05365	294.8510	481.3690	481.6790	463.7785	Pribosyl_synth,Pribosyltran,Pribosyltran_N	GO:0000287,GO:0004749,GO:0009116,GO:0009165
MT_RS05370	187.0345	278.5120	232.3855	272.5750	Hexapep,Hexapep_2,IspD,NTP_transf_3,NTP_transferase	GO:0009058,GO:0016779,GO:0070567
MT_RS05380	219.3085	104.8855	99.0559	86.7773	TetR_N	GO:0003677
MT_RS05385	81.1159	77.2254	59.4034	63.0463	CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF,UvrB_inter	GO:0003676,GO:0005524,GO:0006281
MT_RS05390	86.7222	95.2485	89.6470	80.3538	MazG	
MT_RS05395	61.4120	64.9213	71.6549	58.5478	SLT_2	
MT_RS05400	76.3953	104.9770	123.9605	100.4390	Enolase_C,Enolase_N,MR_MLE_C	
MT_RS05405	54.0459	62.7185	71.5115	57.1732	DivIC	
MT_RS05410	62.4158	103.2473	90.8547	85.7178	DUF501	
MT_RS05415	63.5902	59.1427	49.8775	54.8270	Ppx-GppA	
MT_RS05420	39.0012	21.8809	28.0464	19.2960	Response_reg,Trans_reg_C	GO:0000160,GO:0003677,GO:0006355
MT_RS05425	93.0311	34.9375	42.5611	34.4926	DUF4118,HATPase_c,HisKA,KdpD,Usp	GO:0000155,GO:0000160,GO:0004673,GO:0007165,GO:0016020
MT_RS05430	0.0000	0.0000	0.0000	0.0000		
MT_RS05435	0.0000	0.0000	0.0000	0.0000	Potass_KdpF	GO:0005886,GO:0008556,GO:0043462
MT_RS05440	58.5983	25.1973	47.9789	23.7039	KdpA	GO:0006813,GO:0008556
MT_RS05445	43.3537	20.6882	34.3053	19.0095	E1-E2_ATPase,Hydrolase	
MT_RS05450	41.5989	30.7474	40.6675	30.0785	KdpC	GO:0006813,GO:0008556,GO:0016021
MT_RS05455	31.5281	58.3633	40.2607	61.8974	HAMP,HATPase_c,HisKA	GO:0000155,GO:0007165,GO:0016021
MT_RS05460	44.1076	122.8385	51.3516	132.5960	Response_reg,Trans_reg_C	GO:0000160,GO:0003677,GO:0006355
MT_RS05480	110.2076	152.6200	107.1225	179.7400	WXG100	
MT_RS05485	21.8500	29.3117	14.9942	42.6878	WXG100	
MT_RS05490	23.5958	21.9307	26.8910	21.8023	PE_PPE_C,PPE	
MT_RS05495	13.4877	14.4564	11.0099	19.2975	PE,PE_PPE_C	
MT_RS05500	0.0000	0.0000	0.0000	0.0000		
MT_RS05515	52.6650	48.2810	50.5827	49.9826	Trypsin,Trypsin_2	GO:0004252,GO:0006508
MT_RS05520	34.1757	36.5593	31.7464	41.5605	AbiEi_4	
MT_RS05525	30.1267	31.1630	25.9532	25.9896	AbiEii	
MT_RS05530	554.6780	479.0070	579.4840	373.4630		
MT_RS05535	3.1037	5.8121	5.0494	3.8937	Transposase_mut	GO:0003677,GO:0004803,GO:0006313
MT_RS05540	30.0544	35.6479	29.8901	39.9622		
MT_RS05545	0.0000	0.0000	0.0000	0.0000		
MT_RS05550	72.8863	108.6325	61.8096	112.9897	HTH_Crp_2,MarR_2,Rrf2	GO:0003677,GO:0003700,GO:0006355
MT_RS05555	19.0496	27.9702	20.7752	27.8537	KR,adh_short,adh_short_C2	
MT_RS05560	10.2850	4.9272	10.9855	5.0814	AbiEii,HTH_17	
MT_RS05580	133.5450	137.9670	186.8220	157.6465		
MT_RS05585	0.0000	0.0000	0.0000	0.0000		
MT_RS05595	97.1589	50.9330	91.6033	61.4459	NTP_transf_9	
MT_RS05600	189.9685	6.4001	339.0975	17.8025		
MT_RS05605	31.8281	35.1779	51.8179	33.6204	AMP-binding,AMP-binding_C	GO:0003824
MT_RS05610	144.3030	119.1595	121.6555	100.9720	DapB_N	GO:0008839,GO:0009089,GO:0055114
MT_RS05615	187.8255	201.7450	183.5400	152.2995	Polyketide_cyc2	
MT_RS05620	56.5123	47.7780	65.3586	56.0579	GATase_4,GATase_6	
MT_RS05625	36.0618	37.1560	38.0952	40.5622	Patatin	GO:0006629
MT_RS05630	134.7895	73.5199	62.3216	76.0121	Patatin	GO:0006629
MT_RS05635	58.8899	89.4365	86.8993	112.4005	LpqV	
MT_RS05640	211.5090	120.9260	175.2125	92.7860	CDO_I	GO:0005506,GO:0016702,GO:0055114
MT_RS05645	168.1130	123.2780	175.6780	90.9453	Rhodanese	
MT_RS05650	7.9837	11.6118	8.8628	11.4200	PE	
MT_RS05655	4.6644	7.4270	5.5327	5.6495	PE	
MT_RS05660	57.6730	98.1132	72.5240	95.5151	Abhydrolase_9,Abhydrolase_9_N	
MT_RS05665	95.6460	165.1445	142.1865	147.8720	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS05670	84.9184	153.5180	126.7725	144.7750	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS05675	3204.6300	1912.3250	2426.8800	2443.3900	Bax1-I,BaxI_1	
MT_RS05680	152.0790	175.0245	265.4135	201.4260		
MT_RS05685	302.2980	383.1290	326.9970	328.1705	Thiolase_C,Thiolase_N	GO:0016747
MT_RS05690	94.3730	88.0830	50.0590	73.1442	Lipase_GDSL_2	
MT_RS05695	108.3260	185.7400	67.8085	168.3955	Abhydrolase_3,Say1_Mug180	GO:0016787
MT_RS05700	128.8920	165.4220	131.0025	156.4445	CBS,PALP	
MT_RS05705	612.3645	1117.1325	1108.6750	1180.3035	RDD	
MT_RS05710	164.8955	272.6850	261.9605	286.6440	Cys_Met_Meta_PP,DegT_DnrJ_EryC1,Met_gamma_lyase	GO:0019346,GO:0030170
MT_RS05715	688.3685	894.4700	1018.3545	836.1835	GreA_GreB,GreA_GreB_N	GO:0003677,GO:0032784
MT_RS05720	130.5205	141.9155	131.8815	117.9060	DUF4307	
MT_RS05725	191.7790	163.3665	193.4795	145.8425	PIG-L	
MT_RS05730	0.0000	0.0000	0.0000	0.0000		
MT_RS05735	107.4220	92.9603	76.1662	81.2239	GlcNAc_2-epim,Thioredox_DsbH,Thioredoxin_7	
MT_RS05740	133.3895	211.8825	148.9840	201.1070	HlyIII	GO:0016021
MT_RS05745	226.9215	104.2542	112.7935	95.2003	Prenyltransf	GO:0016765
MT_RS05750	40.7760	34.3530	33.6191	35.6294	PE	
MT_RS05755	29.7347	45.2114	35.4631	31.2850	Prenyltransf	GO:0016765
MT_RS05760	12.2585	28.7286	13.2825	20.8768	PE	
MT_RS05770	0.0000	0.0000	0.0000	0.0000		
MT_RS05775	0.0000	0.0000	0.0000	0.0000		
MT_RS05780	20.5761	22.9326	24.0487	17.6678	Glyco_hydro_12	GO:0000272,GO:0008810
MT_RS05785	37.0443	48.0041	35.8652	43.3734	PE	
MT_RS05790	43.9901	42.4257	44.8738	37.8561	PRK	GO:0005524,GO:0016301
MT_RS05795	411.1490	262.6880	366.7030	269.5250	DegT_DnrJ_EryC1,SHMT	
MT_RS05800	1130.6650	1449.3550	973.8770	1084.7845	FA_desaturase_2	GO:0006631,GO:0045300,GO:0055114
MT_RS05805	574.3085	532.7810	343.9365	421.1270	AAA_30,PIN_4,PhoH	GO:0005524
MT_RS05810	155.3410	179.9460	230.6500	167.3690	Polysacc_deac_1	GO:0005975,GO:0016810
MT_RS05815	152.5700	224.0980	230.3285	213.6535		
MT_RS05820	163.3485	248.5125	265.2210	247.9725	FumaraseC_C,Lyase_1	GO:0006099,GO:0016829
MT_RS05825	107.7390	169.1820	168.2935	173.5230	FBPase_glpX	GO:0006071,GO:0006094,GO:0042132
MT_RS05830	192.1825	118.0135	110.6095	103.2135	DUF4245	
MT_RS05835	99.4991	134.3090	99.2450	131.1000	AI-2E_transport	
MT_RS05840	328.3025	454.5435	427.2825	451.6790	PemK_toxin	GO:0003677
MT_RS05845	0.0000	0.0000	0.0000	0.0000		
MT_RS05860	77.2601	151.5610	99.2840	136.9185	3Beta_HSD,Epimerase,GDP_Man_Dehyd,KR,NAD_binding_10,NAD_binding_4,NmrA,Polysacc_synt_2,RmlD_sub_bind	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
MT_RS05865	0.0000	0.0000	0.0000	0.0000	Exonuc_VII_S	GO:0006308,GO:0008855,GO:0009318
MT_RS05870	55.9534	110.5780	63.7270	98.2958	Exonuc_VII_L,tRNA_anti_2	GO:0003676,GO:0008855
MT_RS05875	364.4710	608.0200	478.7890	606.8825		
MT_RS05880	381.2380	235.6790	235.9505	213.2490	LYTB	GO:0019288,GO:0046872,GO:0050992,GO:0051745
MT_RS05885	161.9005	283.3970	255.8660	252.5680		
MT_RS05890	17.8205	22.9218	26.6025	18.5442	FeoB_N,MMR_HSR1,YchF-GTPase_C	GO:0005525
MT_RS05895	0.0000	0.0000	0.0000	0.0000	VapB_antitoxin	
MT_RS05900	55.8132	45.8123	59.8682	37.7099	PIN	
MT_RS05905	16.3703	20.4008	19.9796	18.2251		
MT_RS05910	0.0000	0.0000	0.0000	0.0000		
MT_RS05915	0.0000	0.0000	0.0000	0.0000		
MT_RS05920	920.2145	684.0635	734.1565	660.8285	ABM	
MT_RS05925	66.2956	88.3718	96.5086	92.0289		
MT_RS05935	19.7419	18.7450	22.5366	15.8360	Guanylate_cyc	GO:0009190,GO:0016849,GO:0035556
MT_RS05940	186.8455	156.8275	172.9055	134.6165	G6PD_C,G6PD_N	GO:0004345,GO:0006006,GO:0016614,GO:0050661,GO:0055114
MT_RS05945	104.8555	96.7146	121.1430	87.9692	6PGD,F420_oxidored,NAD_binding_2	GO:0004616,GO:0006098,GO:0050661,GO:0055114
MT_RS05950	108.0990	128.3820	120.3405	115.9190	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS05955	102.2795	85.4814	99.7823	91.9673	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS05960	41.6392	34.2089	43.2497	33.7018		
MT_RS05965	117.4035	61.5275	102.6610	51.5194		
MT_RS05970	124.1100	64.2253	105.7465	63.0147	PEP-utilizers,PPDK_N	GO:0005524,GO:0016301,GO:0016310,GO:0016772
MT_RS05975	59.6008	15.0753	26.8670	9.8320	DUF222	
MT_RS05980	157.9925	29.2180	12.6858	15.0137	DUF2083,HTH_19,HTH_3,HTH_31,Peptidase_M78	
MT_RS05985	2073.7850	420.8535	77.1814	210.9450	MmgE_PrpD	GO:0016829
MT_RS05990	1041.6500	243.7920	33.6242	145.5360	Citrate_synt	GO:0046912
MT_RS05995	174.8770	179.6085	161.9735	158.9475	DUF3556	
MT_RS06000	833.1580	1106.2350	1031.0100	1147.1600	Meth_synt_1,Meth_synt_2	GO:0003871,GO:0008270,GO:0008652,GO:0009086
MT_RS06005	0.0000	0.0000	0.0000	0.0000		
MT_RS06010	14.7562	14.1481	14.1847	12.4505	PPE,Pentapeptide_2	
MT_RS06015	0.0000	0.0000	0.0000	0.0000	Thiolase_C	GO:0016747
MT_RS06020	30.4641	14.6225	19.2257	12.0716	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS06025	19.7358	17.6810	22.6945	15.7454		
MT_RS06030	49.3800	39.3803	54.3055	36.4748	FAD_binding_2,FAD_binding_3	GO:0071949
MT_RS06035	52.2860	35.1326	50.6148	29.4759	ICMT,PEMT	GO:0004671,GO:0006481,GO:0016021
MT_RS06040	326.6890	230.9985	281.4570	217.6705	CPBP	GO:0004197,GO:0016020,GO:0071586
MT_RS06045	101.4355	110.6325	127.2525	118.6105	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS06050	164.1520	255.7610	169.0540	242.2585	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS06055	33.4513	32.7069	44.9602	30.0943	CoA_transf_3	GO:0008410
MT_RS06060	94.4073	193.3655	121.5065	201.9350	Epimerase,KR,adh_short,adh_short_C2	GO:0003824,GO:0050662
MT_RS06070	43.4347	43.6651	36.7050	52.0809	Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS06080	0.0000	0.0000	0.0000	0.0000		
MT_RS06085	120.2690	70.7492	76.5179	70.5521	DUF222	
MT_RS06100	105.6475	111.0785	120.3955	110.2195	SIR2	GO:0070403
MT_RS06105	856.5295	795.2420	640.4130	726.2685	GntR	GO:0003700,GO:0006355
MT_RS06110	44.5709	60.7126	52.8620	53.8734	LCM	GO:0008168,GO:0032259
MT_RS06115	45.9130	58.7640	45.6302	57.1642	DUF1697	
MT_RS06120	429.0585	499.1685	406.5830	461.1395	Putative_PNPOx	
MT_RS06125	0.0000	0.0000	0.0000	0.0000	DUF5302	
MT_RS06130	534.5025	528.5565	438.0520	470.2045	HhH-GPD	GO:0006284
MT_RS06135	272.2305	250.2645	217.4005	273.8320		
MT_RS06140	666.4785	1066.6500	740.1875	1375.9650		
MT_RS06145	57.1831	71.1556	57.2474	68.3851	GT87	GO:0016758
MT_RS06150	31.2578	26.4705	20.4886	22.9929	Pterin_4a	GO:0006729,GO:0008124
MT_RS06155	71.9175	168.0290	141.0925	153.2165	NUDIX	GO:0016787
MT_RS06160	521.3315	334.7840	286.1710	277.5565	Molybdopterin,Molydop_binding	GO:0016491,GO:0043546,GO:0055114
MT_RS06165	311.7260	266.2555	227.2420	230.4970	Fer4_10,Fer4_11,Nitr_red_bet_C	
MT_RS06170	224.6220	198.8390	160.6075	172.1905	Nitrate_red_del	
MT_RS06175	217.4015	223.1910	177.7245	187.1390	Nitrate_red_gam	
MT_RS06180	53.9785	79.6461	73.5472	65.6673	EFG_C,GTP_EFTU,GTP_EFTU_D2,MMR_HSR1	GO:0003924,GO:0005525
MT_RS06185	90.6320	121.3085	110.5280	112.4290	SBP_bac_5	
MT_RS06190	180.6270	287.6305	215.0640	289.3840	TetR_C_11,TetR_N	GO:0003677
MT_RS06195	52.5481	47.4754	63.2257	38.6690	PE_PPE_C,PPE	
MT_RS06200	139.2400	80.5572	138.3550	112.6280	PE	
MT_RS06205	61.9542	100.9075	91.5560	91.9384	PIG-L	
MT_RS06210	87.1215	215.7535	110.3705	213.7515		
MT_RS06215	226.7580	442.4260	296.7860	383.4820	PE	
MT_RS06220	166.6050	197.5425	179.3520	181.9915	Radical_SAM	GO:0003824,GO:0051536
MT_RS06225	6967.1800	6417.7200	7757.7800	6510.0550		
MT_RS06230	95.2006	121.1600	131.2170	117.2150	FAD_binding_2,FAD_oxidored,HI0933_like,NAD_binding_8,Oxidored_FMN,Pyr_redox,Pyr_redox_2	GO:0010181,GO:0016491,GO:0055114
MT_RS06235	67.0573	133.2530	121.4230	128.1995	PadR,Vir_act_alpha_C	
MT_RS06240	1129.5000	1302.1850	984.4675	1000.3600	Fer4	
MT_RS06245	158.3690	169.5630	137.7345	139.8605	Aminotran_1_2	GO:0009058,GO:0030170
MT_RS06250	97.4188	43.7421	104.6037	39.0001	ResIII	GO:0003677,GO:0005524,GO:0016787
MT_RS06255	399.2925	30.7628	341.2165	47.0341	ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,adh_short,ketoacyl-synt	GO:0055114
MT_RS06260	563.2860	81.1140	730.5125	124.4250	Condensation	
MT_RS06265	212.9980	29.6877	253.1930	39.7477	MMPL	GO:0016020
MT_RS06270	267.1925	20.8192	315.2250	29.8956	PE-PPE	
MT_RS06275	379.8145	108.9458	626.0870	122.2850	AMP-binding	GO:0003824
MT_RS06280	35.6635	21.1101	33.1159	18.6270	HTH_30	
MT_RS06285	102.3145	36.5422	42.0575	38.1021	Aldedh	GO:0016491,GO:0055114
MT_RS06290	47.0569	15.2860	15.3149	13.0534	Pro_dh	
MT_RS06295	24.6870	16.1819	26.3150	15.4493	Sigma70_r2,Sigma70_r4_2	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
MT_RS06300	21.0199	11.7735	18.7964	13.3289	Abhydrolase_1,Abhydrolase_6	
MT_RS06305	67.9439	123.0670	112.9855	124.9055	Abhydrolase_1,Hydrolase_4	
MT_RS06310	408.3200	806.1140	938.9620	766.5430		
MT_RS06315	108.3311	113.4890	139.4725	119.0390	AMP-binding,AMP-binding_C	GO:0003824
MT_RS06320	223.0190	208.8940	355.0700	185.8600	GGDEF_2,HTH_30	
MT_RS06325	357.5735	2380.8600	2875.8050	1494.8250	PE	
MT_RS06330	202.0025	705.9360	1150.3800	543.7860	PE_PPE_C,PPE	
MT_RS06335	1371.2550	4015.5750	3033.0950	3143.5450	WXG100	
MT_RS06340	188.6115	333.4885	379.0285	338.1170	WXG100	
MT_RS06345	91.4436	272.2395	493.9345	204.1505	Transposase_mut	GO:0003677,GO:0004803,GO:0006313
MT_RS06350	79.3942	53.1257	88.3972	47.5878	MFS_1,Sugar_tr	GO:0016021,GO:0022857,GO:0055085
MT_RS06355	311.6155	339.1040	401.7415	306.7660	Hexapep_2,THDPS_M	
MT_RS06360	148.3795	143.1890	173.7100	142.7950	M20_dimer,Peptidase_M20,Peptidase_M28	GO:0016787
MT_RS06365	19.0785	15.8842	19.1382	15.1645		
MT_RS06370	30.7710	41.4828	50.6556	45.4218		
MT_RS06375	141.7100	165.9135	145.7410	153.0175	LDcluster4,Lysine_decarbox	
MT_RS06380	75.9175	112.7295	103.1350	112.0180	AMP-binding,AMP-binding_C	GO:0003824
MT_RS06390	106.0970	94.4124	92.5656	88.0455	Pterin_bind	GO:0042558
MT_RS06395	91.2973	116.0745	112.2535	111.6135	Glyco_tranf_2_3,Glycos_transf_2	
MT_RS06400	1153.7550	823.0060	804.1915	760.2940		
MT_RS06405	122.8395	123.9825	125.1225	120.0775	Adenine_glyco	GO:0006284,GO:0008725
MT_RS06410	0.0000	0.0000	0.0000	0.0000	DUF3117	
MT_RS06415	122.4185	124.5615	174.2910	130.2575	Glyco_trans_1_2,Glyco_trans_1_4,Glyco_trans_4_4,Glyco_transf_4,Glyco_transf_5,Glycos_transf_1	
MT_RS06420	108.5030	82.1104	90.5972	90.3554	NTP_transf_3,NTP_transferase	GO:0009058,GO:0016779
MT_RS06425	123.7830	200.7185	165.1975	159.8490	PE	
MT_RS06430	121.3660	146.1065	117.4565	121.7140	PepX_C,Peptidase_S15	GO:0008239,GO:0016787
MT_RS06435	334.5230	266.2500	184.1080	174.2625	DUF1295,ERG4_ERG24,ICMT,PEMT	GO:0004671,GO:0006481,GO:0016020,GO:0016021,GO:0016126,GO:0016628
MT_RS06440	402.8750	258.4395	122.9495	145.1630		
MT_RS06445	324.8315	207.6670	121.9830	114.0210	AAA_21,ABC_tran,DUF4162	GO:0005524,GO:0016887
MT_RS06450	240.8995	131.6810	99.9674	79.1285	TetR_C_25,TetR_N	GO:0003677
MT_RS06455	228.2225	459.5495	271.9030	359.9490	Methyltransf_11,Methyltransf_24,Methyltransf_25,Methyltransf_3,Methyltransf_31	GO:0008168,GO:0008171
MT_RS06460	2305.7750	506.5275	1255.7450	822.0200	Sigma70_r2,Sigma70_r4,Sigma70_r4_2	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
MT_RS06465	819.8690	1178.0200	698.8580	1112.0250		
MT_RS06470	500.3565	505.5630	444.1185	447.1360	PDZ,PDZ_2,Trypsin,Trypsin_2	GO:0004252,GO:0005515,GO:0006508
MT_RS06475	297.9755	419.2380	294.1630	333.7285	MttA_Hcf106	GO:0015031
MT_RS06480	98.5014	105.9940	75.1313	98.1226	HAD_2,Hydrolase,Hydrolase_6,Hydrolase_like	
MT_RS06485	65.8883	47.3108	41.2874	40.8823	bPH_2	
MT_RS06490	100.1998	78.3979	72.2279	70.2092	bPH_2	
MT_RS06495	166.7820	169.3075	162.2025	147.6150		
MT_RS06500	500.9065	305.6555	333.6195	270.9595	AAA_31,CbiA,FeS_assembly_P,MipZ,ParA	
MT_RS06505	114.5895	238.0120	126.3495	237.5915	SLT_2	
MT_RS06510	88.3301	112.5005	108.5620	98.1065	DUF1003	
MT_RS06515	114.8530	104.6740	109.0700	96.3639	CBS,MgtE_N	
MT_RS06520	279.7940	477.9800	380.5135	448.9085	DUF4190	
MT_RS06525	265.0750	213.2705	195.5150	198.2865		
MT_RS06530	55.5569	64.8542	62.7310	63.1028	SBP_bac_1,SBP_bac_8	
MT_RS06535	28.6506	37.9200	36.9181	30.4734	BPD_transp_1	GO:0016020,GO:0055085
MT_RS06540	85.7464	122.2015	107.9095	116.1700	BPD_transp_1	GO:0016020,GO:0055085
MT_RS06545	92.0549	112.6675	136.7610	100.6655	ABC_tran,OB_MalK	GO:0005524,GO:0016887
MT_RS06550	126.9500	72.0778	152.5070	91.0931	CorA	GO:0016020,GO:0030001,GO:0046873,GO:0055085
MT_RS06555	189.5145	456.8935	369.1315	446.5420	Ldh_1_C,Ldh_1_N	GO:0016491,GO:0016616,GO:0055114
MT_RS06560	0.0000	0.0000	0.0000	0.0000		
MT_RS06565	40.2604	109.7330	80.7013	91.2568	PIN	
MT_RS06570	6.8937	7.7810	7.3008	7.5479	PE	
MT_RS06575	130.5690	224.9315	157.5130	197.5650	OpuAC	GO:0022857,GO:0043190,GO:0055085
MT_RS06580	100.0383	133.2805	118.1075	138.5635	KR,adh_short,adh_short_C2	
MT_RS06585	45.4046	28.1566	45.0033	31.5864	ParE_toxin	
MT_RS06590	0.0000	0.0000	0.0000	0.0000	PhdYeFM_antitox	
MT_RS06595	209.7345	219.7665	192.0925	225.8165	2-oxoacid_dh,2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr	GO:0016624,GO:0016746
MT_RS06600	136.0905	160.7215	160.1860	170.0130		
MT_RS06605	56.9173	44.6944	52.1771	46.4039	MFS_1,PUCC,Sugar_tr,TRI12	GO:0016021,GO:0022857,GO:0055085
MT_RS06610	44.8839	44.8016	51.3770	35.7515	AAA_12,AAA_19,AAA_30,Helicase_RecD,RNase_H_2	
MT_RS06615	86.6265	97.1894	93.9083	79.7726	Lipoprotein_21	
MT_RS06620	193.9980	110.8640	137.0720	100.3614	DEAD,DbpA,Helicase_C	GO:0003676,GO:0005524
MT_RS06625	81.2594	78.8815	89.3204	74.5517	Acyl_transf_3	GO:0016747
MT_RS06630	55.9673	46.5320	50.4795	49.6048	TetR_N	GO:0003677
MT_RS06635	55.2413	43.9246	46.6639	46.9139	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS06640	136.0045	120.4615	125.4990	109.6065	FAD-oxidase_C,FAD_binding_4	GO:0003824,GO:0016491,GO:0050660,GO:0055114
MT_RS06645	35.7275	40.8403	28.5142	36.8533	MFS_1,MFS_3	GO:0055085
MT_RS06650	52.7037	33.1867	45.9284	36.1468	UDG	
MT_RS06655	65.4005	82.3009	117.1205	73.8038	FAD_binding_3	GO:0071949
MT_RS06660	180.9725	206.2385	242.6490	212.5635	F420H2_quin_red	GO:0016491,GO:0055114
MT_RS06665	165.5015	202.9530	255.9145	220.9375	DcpS_C,HIT	
MT_RS06670	34.2465	30.1502	43.4367	31.5343	Amidase	
MT_RS06675	189.2875	231.3260	192.8820	208.4570	Ad_Cy_reg,Guanylate_cyc	GO:0009190,GO:0016849,GO:0035556
MT_RS06680	506.4285	257.2090	281.6770	314.4395		
MT_RS06685	67.5272	62.5847	64.4876	70.4692	Pkinase,Pkinase_Tyr,PknH_C	GO:0004672,GO:0005524,GO:0006468
MT_RS06690	36.1640	34.8271	43.8819	39.1151	BTAD,FHA,Trans_reg_C,Yop-YscD_cpl	GO:0000160,GO:0003677,GO:0005515,GO:0006355
MT_RS06695	14.8745	10.4201	12.4496	11.2454	Peptidase_C39_2	
MT_RS06700	130.9780	276.3250	225.2240	329.1520	DUF4189	
MT_RS06705	115.8015	309.6990	236.3370	360.6510	LppX_LprAFG	
MT_RS06710	171.9350	297.4805	226.9005	192.1160	DUF732	
MT_RS06715	46.8845	64.7337	52.4714	55.2523	ABC_membrane,ABC_tran	GO:0005524,GO:0016021,GO:0016887,GO:0042626,GO:0055085
MT_RS06720	18.2236	37.7492	24.4996	32.4540	ABC_membrane,ABC_tran	GO:0005524,GO:0016021,GO:0016887,GO:0042626,GO:0055085
MT_RS06725	402.1880	408.5655	447.4580	404.9565	DUF3558	
MT_RS06730	280.8780	272.4935	295.5195	235.6145	DUF3558	
MT_RS06735	40.6387	49.7437	64.8326	59.7227	His_Phos_1	
MT_RS06740	185.1055	170.0845	187.3125	153.9295	Metallophos	GO:0016787
MT_RS06745	107.4435	96.3156	97.4661	82.5640	AAA_15,AAA_23,AAA_27	
MT_RS06750	124.3225	145.3630	152.7665	141.5865	GMC_oxred_C,GMC_oxred_N	GO:0016614,GO:0050660,GO:0055114
MT_RS06755	91.4790	83.7671	114.9810	82.7739	SBP_bac_5	
MT_RS06760	58.4089	63.6028	83.0669	60.7287	ABC_tran,oligo_HPY	GO:0000166,GO:0005524,GO:0015833,GO:0016887
MT_RS06765	69.4002	85.2106	118.4415	80.1223	BPD_transp_1,OppC_N	GO:0016020,GO:0055085
MT_RS06770	97.7411	126.2985	155.0670	130.6220	BPD_transp_1	GO:0016020,GO:0055085
MT_RS06775	110.0460	88.4891	116.1435	84.5956	Pro_CA	GO:0004089,GO:0008270
MT_RS06780	142.1040	50.6849	69.6621	44.4544	PAPS_reduct	GO:0003824
MT_RS06785	137.7350	50.0852	87.1286	48.0261	APS_kinase,GTP_EFTU,MMR_HSR1	GO:0003924,GO:0005525
MT_RS06790	125.7245	137.6470	167.9390	127.7555	Rrf2	
MT_RS06795	29.2394	24.4420	36.7999	27.1670	Esterase,LysM	
MT_RS06800	69.2558	68.6033	48.4697	44.7950		
MT_RS06805	40.4185	39.2505	36.2562	38.8393	DUF2254	
MT_RS06810	174.1810	117.0416	175.0855	115.0648		
MT_RS06815	43.7624	32.1928	48.3338	27.4122	DUF732	
