GENE	Glycerol_5.7_r1	Glycerol_5.7_r2	Glycerol_7_r1	Glycerol_7_r2	Pyruvate_5.7_r1	Pyruvate_5.7_r2	Pyruvate_7_r1	Pyruvate_7_r2	Pfam	GO
MT_RS02955	45.5751	43.8093	103.895	138.549	111.89	99.4904	115.772	122.65	DUF520	
MT_RS02965	122.749	131.449	130.517	125.104	149.756	164.116	106.852	98.1383	Dimerisation2,MTS,Methyltransf_11,Methyltransf_2,Methyltransf_25	GO:0008168,GO:0008171
MT_RS02970	298.597	300.255	262.803	226.644	183.799	209.524	196.448	180.663	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS02975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DUF1918	
MT_RS02980	27.4833	27.162	20.7223	20.3332	22.5496	23.0217	21.4317	24.3848	ATP-cone,Ribonuc_red_lgC,Ribonuc_red_lgN	GO:0004748,GO:0005524,GO:0006260,GO:0055114
MT_RS02985	84.8001	91.5985	23.1579	25.2659	33.0238	33.59	22.8293	25.6088	DLH,Pribosyltran	GO:0009116,GO:0016787
MT_RS02990	164.877	122.709	260.552	306.631	330.11	239.047	241.794	326.057		
MT_RS02995	18.0795	18.2845	19.1135	16.6084	20.5806	23.3549	19.1284	17.6235	NAPRTase,NAPRTase_N,QRPTase_C	GO:0004514,GO:0009435
MT_RS03000	16.989	22.3128	32.377	32.6641	25.4472	30.1916	37.451	46.1023	PGA_cap	
MT_RS03005	6.5938	6.11027	3.16967	4.77281	3.87605	4.11204	4.79452	5.07947	FAD_binding_3	GO:0071949
MT_RS03010	130.913	121.869	130.717	129.945	88.7418	83.0851	109.133	116.503	AHSA1,HTH_20,HTH_5,Polyketide_cyc2	GO:0003700,GO:0006355
MT_RS03015	223.419	228.386	249.245	269.51	182.27	166.991	233.576	265.36	Glyoxalase,Glyoxalase_6	
MT_RS03020	155.886	137.295	130.317	141.298	70.8111	80.8336	132.27	111.08	PE	
MT_RS03025	107.527	115.966	139.591	129.524	85.5561	108.531	132.798	133.256	Mut7-C,Ub-Mut7C	
MT_RS03030	539.409	526.11	513.433	672.84	568.168	449.228	617.367	838.147		
MT_RS03035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RHH_1	GO:0006355
MT_RS03040	130.442	131.165	130.483	136.827	113.056	118.547	133.631	133.915	PIN	
MT_RS03045	78.1031	93.3082	131.242	127.837	133.899	122.383	152.972	118.488	Lpp-LpqN	
MT_RS03050	15.8163	19.5867	14.4788	10.2743	13.906	17.2595	12.2002	10.6143	Glyco_hydro_92,Glyco_hydro_92N	
MT_RS03055	23.4404	25.2289	26.701	23.6402	26.8618	31.5635	24.0239	20.285		
MT_RS03060	361.053	387.59	207.423	185.289	241.831	258.402	208.69	199.288	FCD,Fe_dep_repress,GntR,MarR_2	GO:0003677,GO:0003700,GO:0006355
MT_RS03065	241.711	246.154	167.557	152.232	142.451	157.657	145.751	151.333	MlaE	GO:0043190
MT_RS03070	157.198	164.38	132.745	113.8	135.878	156.83	125.399	100.613	MlaE	GO:0043190
MT_RS03075	44.5272	57.7329	56.7625	45.186	46.4242	52.7268	49.6516	40.656	Mce4_CUP1,MlaD	
MT_RS03080	75.3082	84.7409	101.036	100.432	72.8443	82.2751	93.6722	86.6054	MlaD	
MT_RS03085	15.6136	17.6401	10.9459	7.13143	8.60254	10.6052	8.55985	6.7981	MlaD	
MT_RS03090	12.6086	14.7096	14.1642	10.3049	12.3926	14.0177	10.7317	9.69052	MlaD	
MT_RS03095	22.3111	28.8879	28.389	14.8992	19.4746	28.9949	22.104	15.0055	MlaD	
MT_RS03100	18.4782	23.0842	23.3531	20.8464	20.123	25.0441	20.221	16.7188	Mce4_CUP1,MlaD	
MT_RS03105	45.5053	40.8858	43.6552	45.6749	51.6064	43.7383	41.1104	43.7163	PIN	
MT_RS03110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PhdYeFM_antitox	
MT_RS03115	84.7438	79.5725	196.978	237.185	108.428	103.283	192.833	226.683	AAA_14,DUF4143	
MT_RS03120	60.2465	53.4716	123.676	125.103	80.9636	76.6101	125.366	117.995	PIN	
MT_RS03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MazE_antitoxin	GO:0003677
MT_RS03130	4.924	6.28227	5.60478	8.32906	5.45438	6.08197	7.38387	4.73331	HATPase_c	
MT_RS03135	5.25406	4.02202	5.69341	4.81721	3.41172	5.5162	6.33694	3.98192	HAMP	GO:0007165,GO:0016021
MT_RS03140	6.24586	4.64845	7.65446	7.80894	6.33711	6.34281	9.73747	6.8415	Response_reg,Trans_reg_C	GO:0000160,GO:0003677,GO:0006355
MT_RS03145	54.9147	52.5471	53.1311	92.6877	92.7131	70.0092	69.9961	99.4942		
MT_RS03150	54.3328	48.0998	81.8202	79.1939	70.6219	75.393	76.3667	81.0812	DUF1529	
MT_RS03155	129.551	135.724	107.449	101.924	78.3789	78.0388	97.3545	89.0537	Resolvase	GO:0000150,GO:0003677,GO:0006310
MT_RS03160	97.0714	112.621	93.9971	84.5487	68.1322	75.2329	79.9374	73.3948	HTH_OrfB_IS605	
MT_RS03165	13.8497	23.8546	19.8317	13.8525	15.7382	19.2145	15.9449	13.7764		
MT_RS03170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PSK_trans_fac	
MT_RS03175	131.022	126.865	115.448	138.215	119.262	106.59	115.922	119.69	PIN	
MT_RS03180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03185	32.9701	52.581	47.8488	46.3737	58.8751	92.719	71.171	46.851		
MT_RS03190	58.0723	50.9155	61.2347	53.9718	61.8468	66.8501	58.5985	53.5693		
MT_RS03195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DUF4926	
MT_RS03200	31.2026	32.2985	25.6703	18.1562	27.2701	30.4636	22.9158	21.1937		
MT_RS03205	246.005	235.61	263.164	262.737	278.744	313.734	266.713	247.967	SEC-C	
MT_RS03210	17.4996	15.6799	19.2317	13.6117	16.3944	19.8353	14.6104	13.098		
MT_RS03215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03230	76.0393	70.149	60.2138	54.4817	56.9724	58.3397	63.9735	54.4421	PIN	
MT_RS03240	5.09019	4.65263	1.29369	0.902365	1.52932	2.10804	1.74932	1.8353	GHMP_kinases_C,GHMP_kinases_N,GalKase_gal_bdg	GO:0005524,GO:0005534
MT_RS03245	5.17065	6.59696	3.00162	1.61616	0.83939	0.969399	3.18904	1.83689		
MT_RS03250	77.3138	76.6647	46.1448	40.2185	32.7882	38.9282	44.8866	36.491		
MT_RS03255	42.0519	48.6774	23.9266	19.2662	23.8102	26.7323	23.2831	22.689	DUF732	
MT_RS03260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PSK_trans_fac	
MT_RS03265	112.419	128.373	127.396	102.114	78.6454	91.2922	113.388	105.911	PIN	
MT_RS03270	106.726	99.125	126.919	128.579	122.939	135.03	134.619	134.324	SNARE_assoc	
MT_RS03275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PhdYeFM_antitox	
MT_RS03280	181.292	165.014	101.82	100.201	123.465	108.184	101.814	107.603	PIN	
MT_RS03285	400.89	371.17	110.703	114.752	119.656	130.827	110.529	108.494	FIST,FIST_C	
MT_RS03290	73.5691	75.3593	45.2938	43.5655	38.1355	42.4297	42.3667	36.545	AAA_11,AAA_19,AAA_22,AAA_30,Helicase_RecD,UvrD_C_2,Viral_helicase1	GO:0005524
MT_RS03295	27.0968	27.5181	32.2331	28.6311	25.8362	29.0207	29.6829	25.8181	AAA_19,PDDEXK_1,UvrD-helicase,UvrD_C	GO:0005524,GO:0016787
MT_RS03300	21.6043	20.7883	28.9444	25.1875	23.9821	28.5262	25.8717	22.4104	Exonuc_V_gamma,RecC_C	
MT_RS03305	342.813	345.797	412.638	454.314	448.069	454.535	420.682	453.071	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS03310	72.4963	64.9306	153.256	163.596	81.7131	73.0736	138.373	132.215		
MT_RS03315	192.789	199.665	130.457	127.052	130.466	135.323	115.681	121.3	Lactamase_B	
MT_RS03320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	VapB_antitoxin	
MT_RS03335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L33	GO:0003735,GO:0005840,GO:0006412
MT_RS03340	237.94	269.892	296.819	274.847	397.145	353.574	256.067	198.397	MaoC_dehydrat_N	
MT_RS03345	610.344	635.617	750.772	840.149	977.726	934.538	717.998	682.256	MaoC_dehydrat_N,MaoC_dehydratas	
MT_RS03350	300.636	415.91	486.863	346.042	527.941	569.228	382.122	295.401	MaoC_dehydrat_N	
MT_RS03360	451.688	538.469	452.852	400.182	539.536	531.533	382.57	352.517	SecE	GO:0006605,GO:0006886,GO:0016020
MT_RS03365	522.617	558.285	521.54	583.578	635.671	592.641	467.58	417.918	NusG	GO:0006355
MT_RS03370	675.688	680.554	863.047	929.379	928.373	898.394	782.023	867.966	Ribosomal_L11,Ribosomal_L11_N	GO:0003735,GO:0005840,GO:0006412
MT_RS03375	1527.08	1598.01	1574.54	1505.37	1603.01	1678.08	1343.0	1048.27	Ribosomal_L1	
MT_RS03380	456.067	499.435	1035.27	998.815	757.866	758.092	854.072	864.293	CMAS,Methyltransf_11,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS03385	233.752	252.46	616.841	613.23	459.487	477.842	523.976	496.529	CMAS,Methyltransf_11,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS03390	124.012	125.705	234.952	240.971	233.067	228.461	202.646	207.08	CMAS,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS03395	83.509	87.3967	143.463	113.321	121.609	121.231	106.933	107.928	CMAS,Methyltransf_11,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS03400	85.0598	87.7557	162.789	159.148	169.568	180.87	152.793	142.309	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS03405	92.3299	85.289	174.19	158.225	180.868	190.74	156.986	149.783	ABC1	
MT_RS03410	23.0831	22.0559	39.9221	36.7535	23.6006	27.494	38.0332	34.9613	Alpha-mann_mid,Glyco_hydro_38C,Glyco_hydro_38N,NPCBM_assoc	GO:0004559,GO:0006013
MT_RS03415	23.8743	16.1499	38.8185	36.4599	19.9767	21.2684	32.6775	36.5442		
MT_RS03420	13.9258	13.2309	25.227	25.7459	14.8788	17.6277	26.0712	21.9642	ROK	
MT_RS03425	251.365	271.935	388.533	374.72	313.955	323.286	309.334	314.028	Ribosomal_L10	GO:0042254
MT_RS03430	1517.06	1112.09	2332.08	3132.34	2466.7	1882.67	1944.31	2543.74	Ribosomal_L12,Ribosomal_L12_N	GO:0003735,GO:0005840,GO:0006412
MT_RS03435	309.883	292.747	420.156	460.385	439.102	403.095	342.561	348.16	TetR_C_33,TetR_N	GO:0003677
MT_RS03440	80.3121	77.3111	65.099	71.0801	67.2869	59.6291	63.9508	76.6387	RPE65	GO:0016702,GO:0055114
MT_RS03445	1235.32	1263.7	2581.7	2623.12	1142.07	1118.0	2220.44	2248.2	ABC_tran	GO:0005524,GO:0016887
MT_RS03450	23.3895	35.2672	29.0759	19.4953	15.6482	27.1079	24.48	22.6615		
MT_RS03455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	VapB_antitoxin	
MT_RS03460	11.8187	13.24	17.0686	11.713	10.1078	12.6462	19.3195	9.42133	CPBP	GO:0004197,GO:0016020,GO:0071586
MT_RS03465	1052.13	947.545	1131.44	1040.92	872.658	824.379	959.73	766.391	PemK_toxin	GO:0003677
MT_RS03470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RHH_1	GO:0006355
MT_RS03475	15.17	13.2717	15.0966	14.6312	11.2579	18.2022	13.9007	10.1625	PIN	
MT_RS03480	43.882	41.7156	35.9633	27.4319	33.5232	41.2965	41.7466	23.231		
MT_RS03485	78.5393	84.9427	65.8716	63.1771	94.8567	103.204	61.2994	56.5283	Sulfatase	GO:0008484
MT_RS03490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03495	42.4452	54.1535	37.3847	32.0234	58.9251	72.4422	25.2757	23.9181	PIN	
MT_RS03500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03505	764.869	910.353	890.131	849.076	977.358	965.077	763.322	698.968	RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7	GO:0003677,GO:0003899,GO:0006351
MT_RS03510	615.135	701.681	690.181	698.817	763.686	749.212	610.488	572.273	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5	GO:0003677,GO:0003899,GO:0006351
MT_RS03515	99.6253	135.58	133.66	91.342	130.821	166.025	81.9262	102.244		
MT_RS03520	58.2706	60.8835	93.0327	77.4678	89.3297	100.314	84.7388	72.6053	Ceramidase_alk	
MT_RS03525	473.328	436.629	229.509	238.252	265.088	266.957	239.424	239.432	AP_endonuc_2	
MT_RS03530	131.236	125.048	122.237	108.347	114.343	124.661	130.416	113.466	Esterase_phd	GO:0005576,GO:0016787
MT_RS03535	126.563	124.372	133.97	157.5	145.072	130.072	145.687	171.512	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,AidB_N	GO:0016627,GO:0055114
MT_RS03540	69.4718	71.2206	66.086	73.2641	60.6988	63.676	75.8633	78.1872	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS03545	42.0589	50.5789	41.7926	37.8395	40.9664	41.1312	40.8967	36.2434	PaaX,PaaX_C	
MT_RS03550	67.8232	75.1503	35.0921	37.4327	43.0094	44.5388	32.7609	27.9582	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS03555	1587.76	1806.16	605.548	517.618	590.267	650.764	355.067	326.236	MMPL	GO:0016020
MT_RS03560	4979.61	5141.7	1481.81	1578.61	1914.52	1820.42	981.34	1003.96	Mycobact_memb	
MT_RS03565	3320.52	3373.96	942.477	987.725	896.049	915.64	779.001	673.059		
MT_RS03570	386.002	490.162	273.464	227.674	225.487	250.422	202.655	193.378	DUF3060	
MT_RS03575	340.047	415.645	500.636	397.894	388.089	368.545	430.209	380.713	DUF3060	
MT_RS03580	214.989	219.014	257.114	238.998	190.916	212.905	234.992	196.437	TetR_C_33,TetR_N	GO:0003677
MT_RS03585	549.307	652.289	781.016	885.97	1056.18	814.366	810.878	651.604	Ribosom_S12_S23	GO:0003735,GO:0005840,GO:0006412
MT_RS03590	601.765	609.113	847.777	943.298	947.094	828.744	743.727	869.054	Ribosomal_S7	
MT_RS03595	304.767	362.165	497.492	435.727	484.694	492.783	416.088	339.105	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2	GO:0003924,GO:0005525
MT_RS03600	570.721	672.658	889.14	843.381	894.741	834.469	796.526	659.168	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3,MMR_HSR1	GO:0003924,GO:0005525
MT_RS03605	171.926	178.839	170.08	162.421	153.427	152.744	166.7	166.676		
MT_RS03610	118.671	115.807	58.3558	54.6773	98.6531	96.6808	54.8817	48.7936	KR,adh_short,adh_short_C2	
MT_RS03615	77.1051	79.8666	83.6034	84.106	82.8246	82.5693	84.7933	71.9617	Pyr_redox,Pyr_redox_2,Reductase_C	GO:0016491,GO:0055114
MT_RS03620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03625	185.393	203.166	100.777	84.7517	116.269	142.76	89.4552	83.2743	DUF2332	
MT_RS03630	199.541	259.227	120.492	65.0868	123.796	139.786	82.2952	57.4572	TetR_C_14,TetR_N	GO:0003677
MT_RS03640	615.045	756.678	926.606	1125.98	868.293	883.352	1275.74	1248.55		
MT_RS03645	193.174	237.52	357.315	311.129	274.695	307.608	401.375	382.908	Fer4_12,Radical_SAM,SPASM	GO:0003824,GO:0051536
MT_RS03650	185.676	216.189	360.65	306.578	275.648	299.123	395.68	323.42	FMN_dh,Glu_synthase,IMPDH	GO:0003824,GO:0006537,GO:0015930,GO:0016491,GO:0016638,GO:0055114
MT_RS03655	212.643	230.764	411.727	450.871	309.544	330.103	467.03	466.46	Creatininase	
MT_RS03660	80.7974	87.4913	172.965	165.658	124.317	136.393	177.004	157.313	Glyco_tranf_2_2,Glyco_tranf_2_3,Glyco_trans_2_3,Glyco_transf_21,Glycos_transf_2	GO:0016757
MT_RS03665	20.0118	25.3299	34.5754	33.0738	23.1092	24.0751	38.4276	32.6388	GMC_oxred_C,GMC_oxred_N	GO:0016614,GO:0050660,GO:0055114
MT_RS03670	57.3593	70.2348	35.756	25.2683	89.366	98.4441	30.8657	23.3858		
MT_RS03675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03685	1788.71	2072.45	2194.14	2092.13	1674.52	1877.0	2102.44	1778.35	Ribosomal_S10	
MT_RS03690	1604.76	1987.89	2162.66	2092.51	1767.61	1776.41	1729.83	1576.09	Ribosomal_L3	GO:0003735,GO:0005840,GO:0006412
MT_RS03695	846.521	995.746	1353.57	1213.76	1034.77	1162.7	1189.44	1001.05	Ribosomal_L4	GO:0003735,GO:0005840,GO:0006412
MT_RS03700	731.1	747.081	1121.29	939.454	938.49	954.395	887.907	714.247	Ribosomal_L23	GO:0003735,GO:0005840,GO:0006412
MT_RS03705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03710	973.58	1090.39	1588.39	1606.44	1256.69	1245.62	1350.69	1137.34	Ribosomal_L2,Ribosomal_L2_C	GO:0003735,GO:0005840,GO:0006412
MT_RS03715	83.6493	140.075	182.098	107.851	98.4507	109.779	73.0877	74.2918	Ribosomal_S19	GO:0003735,GO:0005840,GO:0006412
MT_RS03720	420.092	460.41	664.542	744.3	552.602	551.506	648.598	599.134	Ribosomal_L22	GO:0003735,GO:0005840,GO:0006412
MT_RS03725	668.439	750.972	1208.88	1338.86	947.756	897.68	1034.67	1020.09	KH_2,Ribosomal_S3_C	GO:0003723,GO:0003735,GO:0006412
MT_RS03730	561.11	562.159	963.46	1143.26	757.225	672.345	741.051	856.475	Ribosomal_L16	GO:0003735,GO:0005840,GO:0006412
MT_RS03735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L29	GO:0003735,GO:0005840,GO:0006412
MT_RS03740	804.184	873.657	1352.74	1314.47	1015.75	890.698	976.27	835.092	Ribosomal_S17	GO:0003735,GO:0005840,GO:0006412
MT_RS03745	102.142	119.858	54.4677	48.3677	82.0122	82.4404	51.6787	51.7399	Sulfatase	GO:0008484
MT_RS03750	134.728	158.463	42.5971	37.4739	62.3594	63.5983	35.5294	35.8969	FGE-sulfatase	
MT_RS03755	98.4745	75.0722	122.055	142.389	114.93	115.024	117.656	99.0587	DUF4436	
MT_RS03760	469.795	546.694	800.517	826.722	883.896	880.777	791.064	670.032	Ribosomal_L14	GO:0003735,GO:0005840,GO:0006412
MT_RS03765	1227.58	1493.36	1979.51	1768.28	2015.99	2187.3	1666.84	1286.33	KOW,ribosomal_L24	GO:0003735,GO:0005840,GO:0006412
MT_RS03770	622.927	614.053	995.281	1145.77	1051.4	940.433	854.203	819.122	Ribosomal_L5,Ribosomal_L5_C	
MT_RS03775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_S14	GO:0003735,GO:0005840,GO:0006412
MT_RS03780	501.251	575.721	861.755	995.402	938.514	906.769	762.968	799.609	Ribosomal_S8	GO:0003735,GO:0005840,GO:0006412
MT_RS03785	536.219	592.278	927.798	887.319	912.771	913.168	731.433	715.795	Ribosomal_L6	GO:0003735,GO:0005840,GO:0006412,GO:0019843
MT_RS03790	603.162	514.858	878.437	1088.13	1023.02	931.107	873.849	815.531	Ribosomal_L18p	GO:0003735,GO:0005840,GO:0006412
MT_RS03795	626.961	670.46	1021.54	1088.37	1049.28	1008.37	939.555	851.644	Ribosomal_S5,Ribosomal_S5_C	GO:0003723,GO:0003735,GO:0005840,GO:0006412
MT_RS03800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L30	
MT_RS03805	2087.84	2209.61	3538.1	3188.53	3061.64	3247.26	2901.08	2399.83	Ribosomal_L27A	
MT_RS03810	702.927	705.422	359.655	354.807	340.401	356.732	344.221	334.635	Peptidase_S49	GO:0006508,GO:0008233
MT_RS03815	32.8527	41.6618	33.1109	26.4315	33.9006	35.4297	31.8318	23.2716	LCM	GO:0008168,GO:0032259
MT_RS03820	139.877	134.252	171.408	183.631	226.465	222.029	172.756	190.472	LCM	GO:0008168,GO:0032259
MT_RS03825	58.2271	64.8417	61.2205	46.4987	43.1643	54.8979	59.7842	40.5338	Aldolase_II	
MT_RS03830	27.0314	27.5002	31.0423	33.9067	20.8799	23.2526	35.8863	32.8888	2-Hacid_dh,2-Hacid_dh_C	GO:0016616,GO:0051287,GO:0055114
MT_RS03835	46.3921	42.6133	31.5476	37.6978	32.1405	34.1008	38.2921	32.8394	FGGY_C,FGGY_N	GO:0005975,GO:0016773
MT_RS03840	253.176	252.762	310.047	329.935	285.766	294.723	330.443	343.839	Acetyltransf_1,Acetyltransf_3	GO:0008080
MT_RS03845	51.3652	46.8435	71.5777	88.4882	72.1183	67.9765	70.8515	88.3435	LCM	GO:0008168,GO:0032259
MT_RS03850	316.133	325.499	599.629	508.82	489.185	534.817	477.971	432.349	SecY	GO:0015031,GO:0016020
MT_RS03855	424.165	448.122	642.65	586.275	592.676	580.942	504.059	421.991	AAA_17,AAA_18,AAA_33,ADK	
MT_RS03860	279.27	266.885	436.128	402.127	335.958	369.363	386.675	311.577	Peptidase_M24	
MT_RS03865	35.6352	35.9795	37.3054	36.8605	27.468	34.7985	34.1533	32.0587	Sigma70_ECF,Sigma70_r2,Sigma70_r4,Sigma70_r4_2	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
MT_RS03870	42.4645	35.2158	43.8585	47.3677	38.2594	39.5079	46.597	50.2542	zf-HC2	
MT_RS03875	36.3296	37.467	54.599	45.4213	45.0187	46.7696	59.7508	50.3343	HTH_27,MarR,MarR_2	GO:0003700,GO:0006355
MT_RS03880	583.428	552.816	397.489	418.197	354.28	378.25	412.399	432.679	MDMPI_N	GO:0046872
MT_RS03885	11.5038	10.8943	14.4118	11.7879	11.3975	16.0977	11.3131	10.9542	DUF4226	
MT_RS03890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03900	250.519	231.564	567.867	524.153	361.868	385.326	605.426	512.192	DDE_Tnp_ISL3	
MT_RS03905	13.9435	13.7619	26.6758	31.9057	21.5251	23.0834	30.5049	31.4033	PE	
MT_RS03910	34.4266	40.065	55.274	59.3283	48.9391	58.7868	64.8464	70.4062		
MT_RS03915	85.7355	84.6258	109.63	99.0434	121.501	115.775	166.256	140.147	HTH_17	
MT_RS03920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03925	5.78788	5.70616	3.66538	5.26279	3.92919	10.062	6.70675	4.86003		
MT_RS03930	19.7203	18.7053	13.6866	14.6689	22.4031	26.042	13.3825	12.7604	PE	
MT_RS03935	54.8341	46.3509	25.9897	30.7783	23.5497	26.2037	23.2704	22.4078	PE	
MT_RS03940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RHH_1	GO:0006355
MT_RS03945	45.656	47.1784	66.0019	50.2283	61.0667	64.4002	55.581	47.5334	PIN	
MT_RS03950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS03960	274.297	260.24	143.715	133.166	164.028	165.379	142.374	135.868	F420_oxidored,NAD_binding_11,NAD_binding_2	GO:0050661,GO:0051287
MT_RS03965	73.6194	74.7546	30.7855	33.956	52.9074	55.1055	25.4519	23.4109	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS03970	109.313	100.722	50.1084	49.229	76.9106	81.7566	45.7694	48.4599	Aldedh	GO:0016491,GO:0055114
MT_RS03975	40.3023	42.6033	17.615	17.4341	19.9904	22.1868	15.6865	14.1999	His_Phos_1,PE	
MT_RS03980	32.1633	35.8768	43.5021	43.6593	37.7367	33.0238	37.4523	32.3589	PPE,Pentapeptide_2	
MT_RS03985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HTH_23,HTH_28,HTH_29,HTH_7,HTH_Tnp_1,LZ_Tnp_IS481,Terminase_5	GO:0000150,GO:0003677,GO:0004803,GO:0005524,GO:0006310,GO:0006313,GO:0019069
MT_RS03995	225.889	210.435	289.073	307.91	225.931	239.657	312.344	314.777		
MT_RS04000	412.655	444.092	393.069	410.556	336.705	319.714	363.392	391.407	Response_reg,Trans_reg_C	GO:0000160,GO:0003677,GO:0006355
MT_RS04005	152.462	156.516	120.784	113.733	99.4397	111.333	117.511	114.752	HAMP,HATPase_c,HisKA	GO:0000155,GO:0007165,GO:0016021
MT_RS04010	161.437	179.104	211.428	203.301	211.937	187.301	181.338	189.093	DcpS_C,HIT	
MT_RS04015	136.426	156.272	185.371	212.898	244.426	205.739	188.347	184.312	NTF2,SnoaL_2	
MT_RS04020	213.879	214.277	292.166	332.006	419.525	383.57	344.294	388.4	ADH_N,ADH_zinc_N	GO:0055114
MT_RS04025	59.2709	64.7287	65.511	47.5729	58.7608	61.4599	47.5376	41.4192		
MT_RS04030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fer4_13,Fer4_15,Fer4_19	
MT_RS04035	53.1788	61.1578	39.4407	35.7021	41.7119	47.9587	32.7633	33.6532	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS04040	69.3576	63.4975	34.3788	41.2928	33.6486	31.3444	31.749	30.6679	KR,adh_short,adh_short_C2	
MT_RS04045	53.3612	64.1108	37.1517	31.9505	36.3697	42.549	32.8293	32.0337	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS04050	102.929	94.7931	62.9461	59.1829	49.6142	50.7126	74.9651	74.2547	TetR_N	GO:0003677
MT_RS04055	37.0431	36.1681	26.3225	30.8435	37.6177	35.8819	31.7315	36.1527	Aldedh	GO:0016491,GO:0055114
MT_RS04060	27.8371	25.5646	32.4757	29.9277	39.8197	44.4744	31.9599	32.2953	KR,adh_short,adh_short_C2	
MT_RS04065	14.9338	15.6602	17.7343	19.1187	24.2431	25.5434	18.3369	17.224	NAD_binding_11,NAD_binding_2	GO:0050661,GO:0051287
MT_RS04070	36.3251	35.0416	55.5467	44.8619	52.0655	44.8481	43.7147	46.2678	CMD	GO:0051920,GO:0055114
MT_RS04075	59.0044	59.8282	66.7267	69.0726	72.7168	72.7543	67.9306	64.7821	GARS_A,GARS_C,GARS_N	GO:0004637,GO:0009113
MT_RS04080	51.5011	58.5169	89.5029	84.1621	78.179	88.2838	84.9429	72.0101	G_glu_transpept	
MT_RS04085	143.786	155.361	263.283	244.526	234.918	249.929	267.033	231.555	Esterase	
